traffic_volume,weather,speed,accident,congestion_level
1749,clear,49.4643,0,high
1642,rain,38.2213,0,high
1528,rain,31.3999,0,high
1998,clear,47.42,0,high
1457,rain,41.4529,0,high
1294,clear,54.1774,0,medium
1816,clear,39.4358,0,high
641,rain,65.7988,0,medium
622,clear,85.0654,0,medium
241,fog,69.4697,0,low
1647,rain,33.3478,0,high
915,clear,68.1497,0,medium
1280,rain,47.0632,0,medium
931,clear,67.7749,0,medium
1801,clear,48.1492,0,high
1922,clear,41.1392,0,high
466,clear,85.8884,0,low
270,fog,69.8266,0,low
1106,fog,51.7142,0,medium
1426,clear,62.3289,0,high
1828,clear,44.4289,0,high
1568,rain,31.6712,0,high
402,clear,90.0595,0,low
669,clear,77.6959,0,medium
1333,clear,56.8482,0,medium
826,clear,76.7062,0,medium
1116,clear,64.608,0,medium
269,fog,63.7657,0,low
1771,clear,48.2693,0,high
1853,snow,10.0,0,high
1388,clear,54.4348,0,medium
1210,clear,55.4844,0,medium
816,snow,48.3896,0,medium
1329,rain,42.2466,0,medium
279,clear,89.4757,0,low
450,clear,82.1796,0,low
435,clear,80.3122,0,low
1056,rain,51.1718,0,medium
279,clear,86.7673,0,low
126,rain,82.3167,0,low
1669,clear,58.9524,0,high
633,clear,79.4895,0,medium
606,clear,91.5725,0,medium
1639,clear,54.8731,0,high
1401,rain,44.3137,0,high
286,clear,94.589,0,low
1468,clear,67.82,0,high
1717,rain,31.7497,0,high
833,clear,79.8501,0,medium
815,clear,74.5115,0,medium
514,clear,90.145,0,low
569,clear,80.2418,0,low
527,clear,76.967,0,low
1903,clear,48.2271,0,high
1521,fog,28.5933,0,high
325,fog,65.5033,0,low
1829,fog,10.4485,0,high
471,fog,55.1184,1,low
1599,fog,31.699,0,high
689,clear,80.0417,0,medium
877,clear,75.5207,0,medium
1947,rain,27.0821,0,high
727,fog,51.7478,0,medium
953,clear,69.821,0,medium
1787,rain,40.6478,0,high
812,fog,57.6682,0,medium
1871,clear,42.088,0,high
569,clear,72.6946,0,low
529,clear,80.0103,0,low
226,clear,100.2647,0,low
504,clear,93.4773,0,low
1639,clear,52.0022,0,high
462,snow,56.2463,1,low
962,clear,63.1344,0,medium
1689,clear,49.4353,0,high
1199,fog,50.1393,0,medium
1565,clear,64.878,0,high
774,fog,55.0361,1,medium
985,rain,57.7156,0,medium
1111,clear,74.3859,0,medium
170,clear,94.461,0,low
1471,rain,40.0902,0,high
1363,snow,23.6322,0,medium
1727,clear,48.9522,0,high
976,clear,73.9434,0,medium
298,clear,92.0846,0,low
1615,rain,38.6273,0,high
614,snow,55.1382,0,medium
210,rain,83.2401,0,low
249,clear,88.3166,0,low
1019,clear,68.0522,0,medium
1396,clear,61.0111,0,medium
1192,rain,49.3242,0,medium
1915,clear,42.713,0,high
1402,fog,28.9812,0,high
1669,clear,53.4819,0,high
786,clear,76.2156,0,medium
1079,fog,39.7824,0,medium
981,rain,60.6298,0,medium
371,rain,70.5022,1,low
1178,clear,57.5792,0,medium
1100,clear,69.7537,0,medium
1850,clear,49.9257,0,high
1807,clear,41.6131,0,high
1588,clear,52.8465,0,high
853,clear,77.1534,0,medium
1764,clear,42.2787,0,high
637,clear,81.3072,0,medium
423,clear,84.7475,0,low
792,rain,56.9773,0,medium
1305,rain,53.9216,0,medium
1204,clear,64.4191,0,medium
1150,clear,65.6277,0,medium
1801,fog,28.0015,0,high
1252,rain,48.5022,0,medium
1160,clear,66.7945,0,medium
394,rain,78.1217,1,low
471,fog,63.1092,0,low
1088,clear,70.755,0,medium
270,rain,74.2955,1,low
1220,rain,47.9596,0,medium
416,clear,93.9681,0,low
1283,clear,53.2675,0,medium
361,fog,55.0008,0,low
952,rain,61.3466,0,medium
132,rain,84.4776,0,low
286,snow,58.8789,1,low
709,rain,61.7975,0,medium
1464,clear,53.7348,0,high
1239,clear,57.5381,0,medium
328,clear,96.6612,0,low
1585,clear,62.2228,0,high
393,clear,87.6442,0,low
1698,fog,33.1823,0,high
1075,clear,74.508,0,medium
1385,clear,65.2999,0,medium
1643,fog,28.6805,0,high
1086,clear,60.5044,0,medium
1252,clear,68.8664,0,medium
1216,rain,58.1878,1,medium
1241,clear,62.7012,0,medium
1379,clear,64.6497,0,medium
1196,clear,66.9604,0,medium
1123,clear,67.0788,0,medium
226,rain,77.9748,0,low
1801,fog,10.0,0,high
1269,rain,51.5201,0,medium
1723,rain,41.0501,0,high
687,rain,66.0532,0,medium
1358,rain,53.2679,0,medium
1053,clear,70.8508,0,medium
523,clear,83.5822,0,low
434,fog,66.1211,1,low
1053,clear,69.0871,0,medium
388,rain,73.0799,0,low
826,clear,76.5326,0,medium
555,clear,89.1154,0,low
653,rain,57.2274,0,medium
904,rain,58.6141,0,medium
1843,clear,44.2909,0,high
1700,clear,49.1116,0,high
1444,clear,51.9178,0,high
949,clear,71.6637,0,medium
1521,clear,57.0763,0,high
378,clear,91.9585,0,low
1697,clear,54.9243,0,high
1613,fog,19.4462,0,high
998,clear,62.3695,0,medium
1660,clear,59.6227,0,high
270,clear,95.2278,0,low
1484,clear,50.0836,0,high
905,rain,59.7981,0,medium
255,clear,87.0774,0,low
1959,clear,51.6604,0,high
1074,clear,75.6533,0,medium
604,clear,88.8126,0,medium
1253,clear,56.4963,0,medium
919,rain,58.253,0,medium
1244,snow,27.4606,0,medium
1036,clear,68.8984,0,medium
694,clear,73.8724,0,medium
1794,fog,14.7132,0,high
565,clear,74.0044,0,low
1982,clear,40.2054,0,high
1307,rain,45.23,0,medium
1236,snow,30.5234,1,medium
110,clear,94.2002,0,low
518,clear,88.6714,1,low
248,fog,68.5252,0,low
512,fog,56.1378,0,low
1940,clear,54.9876,0,high
441,clear,90.8865,0,low
939,clear,73.0814,0,medium
1549,clear,59.5577,0,high
578,clear,77.6428,0,low
570,clear,80.2569,0,low
837,clear,73.4402,0,medium
1769,fog,27.8173,0,high
1469,clear,55.7171,0,high
612,clear,67.8455,0,medium
1448,rain,45.407,0,high
1659,clear,44.8481,0,high
207,rain,72.8806,0,low
1722,clear,43.8296,0,high
735,clear,75.8748,0,medium
888,clear,72.5392,0,medium
1207,rain,45.5364,0,medium
699,clear,82.0755,0,medium
1428,clear,59.7357,0,high
1820,fog,30.4202,0,high
1506,clear,63.7882,0,high
271,rain,77.6784,0,low
319,clear,87.0644,0,low
961,clear,72.2258,0,medium
621,clear,80.1658,0,medium
1209,clear,66.9505,0,medium
1018,clear,79.0341,0,medium
1773,clear,36.3735,0,high
1537,rain,30.2597,0,high
1940,rain,31.3886,0,high
770,rain,58.5488,0,medium
1252,clear,65.1102,0,medium
825,rain,62.2905,0,medium
1918,clear,45.2553,0,high
1157,rain,45.0519,0,medium
212,fog,66.3722,0,low
997,clear,75.0021,0,medium
883,clear,69.6911,0,medium
1063,clear,72.306,0,medium
1955,clear,36.1016,0,high
740,rain,70.1754,0,medium
1202,clear,63.4246,0,medium
661,rain,77.0495,0,medium
1122,clear,69.3121,0,medium
1203,rain,46.71,0,medium
655,fog,55.8849,0,medium
702,clear,77.7959,0,medium
1470,clear,55.0815,0,high
1557,fog,28.829,0,high
1716,clear,48.2297,0,high
1288,clear,56.3747,0,medium
1689,clear,51.4034,0,high
185,clear,92.9669,0,low
837,clear,68.5833,0,medium
497,clear,82.1852,0,low
1597,clear,48.8163,0,high
1321,rain,51.8732,0,medium
1566,clear,48.7112,0,high
1622,clear,53.8867,0,high
1504,clear,50.4037,0,high
691,clear,77.2195,0,medium
193,clear,93.6039,0,low
132,fog,79.5211,0,low
216,clear,90.6815,0,low
1076,rain,60.3987,0,medium
684,clear,81.0505,0,medium
1562,clear,54.7795,0,high
148,clear,95.3042,0,low
1373,clear,51.5348,0,medium
1593,clear,41.3807,0,high
317,clear,88.1984,0,low
1140,clear,67.9278,0,medium
1874,clear,48.5464,0,high
355,fog,65.6784,1,low
1816,rain,34.1449,0,high
327,clear,92.374,0,low
1349,clear,54.4856,0,medium
1790,clear,49.0336,0,high
986,rain,57.4448,0,medium
1361,clear,57.2335,0,medium
1802,clear,45.0418,0,high
1095,clear,64.2117,0,medium
1780,snow,12.4197,0,high
1864,rain,29.5173,0,high
370,clear,95.884,0,low
1724,fog,20.2326,0,high
1603,fog,23.3623,0,high
1751,clear,47.9797,0,high
1627,clear,54.9024,0,high
1188,rain,46.0719,0,medium
1976,clear,30.0457,0,high
1959,clear,37.3047,0,high
1937,rain,33.8221,0,high
1785,fog,21.5601,1,high
922,clear,61.0613,0,medium
857,snow,36.1445,0,medium
833,clear,69.5327,0,medium
590,snow,50.9147,0,low
419,fog,56.3042,0,low
666,clear,82.0761,0,medium
1006,rain,47.2559,0,medium
328,clear,87.688,0,low
472,clear,89.1104,0,low
1888,clear,43.1218,0,high
132,fog,81.6501,0,low
1022,clear,69.7298,0,medium
1560,rain,32.9447,0,high
409,fog,66.7966,0,low
1282,clear,57.7655,0,medium
1682,fog,21.9881,1,high
1236,rain,61.5351,0,medium
1409,fog,28.9921,0,high
737,clear,80.7456,0,medium
1995,clear,46.3825,0,high
292,snow,38.1671,0,low
802,clear,83.3163,0,medium
604,clear,86.8343,0,medium
231,clear,94.459,0,low
1316,rain,45.4689,0,medium
169,clear,89.4764,0,low
1065,clear,72.8444,0,medium
276,rain,80.4116,0,low
1356,clear,55.0361,0,medium
966,clear,64.5787,0,medium
1552,clear,48.8743,0,high
1551,rain,44.693,0,high
350,snow,55.7294,0,low
894,clear,72.8267,0,medium
1928,clear,47.5916,0,high
1413,fog,26.3787,0,high
1306,clear,63.4112,0,medium
1925,rain,29.4544,0,high
1303,clear,72.4563,0,medium
853,rain,59.3714,0,medium
932,clear,75.7146,0,medium
357,rain,73.2699,0,low
259,clear,93.9405,0,low
177,rain,78.6524,0,low
1528,rain,43.4065,0,high
202,clear,100.9812,0,low
635,fog,55.1163,0,medium
448,fog,70.7656,0,low
119,clear,104.8959,0,low
954,rain,53.7777,0,medium
1755,fog,16.5477,1,high
1996,clear,36.5962,0,high
1504,clear,61.6302,0,high
572,clear,80.1031,0,low
1219,clear,59.6009,0,medium
1799,rain,36.0202,0,high
1449,clear,58.041,0,high
624,clear,72.0767,0,medium
1270,fog,41.7292,0,medium
433,fog,54.0476,0,low
770,clear,76.4497,0,medium
1033,clear,67.5312,0,medium
1276,rain,37.0726,0,medium
1600,clear,54.7096,0,high
1121,snow,31.5894,0,medium
1711,clear,51.8389,0,high
782,clear,82.3908,0,medium
1090,clear,71.7046,0,medium
1743,clear,44.8329,0,high
1987,fog,10.0,0,high
1800,rain,34.7093,1,high
1791,rain,35.1482,0,high
1832,clear,40.8297,0,high
563,clear,81.7373,0,low
1476,clear,57.266,0,high
1378,clear,51.7014,0,medium
1749,clear,50.9873,0,high
428,rain,64.5215,0,low
1402,clear,55.7793,0,high
1461,clear,60.0337,0,high
975,clear,59.7043,0,medium
1206,fog,45.1414,1,medium
1515,fog,38.06,0,high
911,clear,73.1313,0,medium
408,rain,73.6953,0,low
1927,rain,29.9341,0,high
1397,clear,52.3993,0,medium
1302,rain,49.8944,0,medium
1424,fog,31.8434,0,high
1989,fog,17.0357,0,high
1988,clear,42.9486,0,high
528,clear,93.805,0,low
447,snow,51.9644,1,low
1463,clear,63.2442,0,high
370,clear,89.3232,0,low
1092,rain,56.9855,0,medium
1997,rain,25.2087,0,high
297,snow,46.4886,0,low
499,clear,83.5031,0,low
1776,rain,23.0693,0,high
1554,fog,30.5154,0,high
1928,clear,42.5601,0,high
1525,clear,59.2264,0,high
874,clear,69.1082,0,medium
570,clear,88.0175,0,low
754,fog,41.9968,0,medium
769,clear,69.2849,0,medium
791,clear,67.6589,0,medium
992,clear,69.4181,0,medium
539,rain,63.6457,0,low
233,clear,92.4036,1,low
239,rain,76.8645,0,low
574,clear,89.9568,0,low
767,rain,58.3754,0,medium
848,clear,74.6337,0,medium
603,clear,87.3507,0,medium
1521,fog,31.9348,0,high
1926,clear,44.9341,0,high
1182,clear,70.007,0,medium
950,fog,55.1721,0,medium
1594,rain,39.7692,0,high
720,fog,48.0725,0,medium
1894,snow,10.0,0,high
1652,fog,25.7305,0,high
1342,fog,37.5445,0,medium
1035,clear,75.2222,0,medium
1334,clear,60.3565,0,medium
653,rain,70.3283,0,medium
1794,fog,22.8011,0,high
280,clear,86.9224,0,low
838,clear,76.1585,0,medium
209,clear,91.5266,0,low
1518,fog,28.8024,0,high
1026,clear,65.9774,0,medium
989,clear,75.6005,0,medium
1683,clear,51.9665,0,high
588,clear,84.9213,0,low
466,clear,87.3591,0,low
1135,clear,65.5764,0,medium
948,snow,37.1725,0,medium
138,clear,92.6969,0,low
536,clear,93.235,0,low
122,fog,66.6219,0,low
242,clear,97.1574,0,low
1807,clear,46.0019,0,high
1459,clear,64.1605,0,high
1997,clear,30.3158,0,high
1399,fog,32.1804,0,medium
1030,snow,36.6597,0,medium
1346,fog,36.0509,0,medium
1565,clear,56.3285,0,high
1183,fog,45.5044,0,medium
581,snow,49.2598,0,low
804,rain,63.0359,0,medium
501,clear,94.8667,0,low
1231,fog,47.4861,0,medium
1580,fog,27.532,0,high
1060,clear,55.7179,0,medium
1876,fog,17.3101,0,high
799,clear,86.3022,0,medium
845,clear,75.5153,0,medium
831,snow,43.579,0,medium
1619,rain,41.579,0,high
1002,clear,66.3524,0,medium
1094,clear,56.3522,0,medium
1904,clear,49.7342,0,high
726,fog,52.2624,0,medium
296,fog,62.7137,0,low
1633,rain,34.3563,0,high
595,fog,49.1185,0,low
1618,clear,55.2626,0,high
1900,fog,22.6601,0,high
1494,snow,31.0676,0,high
1058,clear,65.5972,0,medium
851,clear,74.9995,0,medium
657,clear,83.5501,0,medium
1386,clear,61.8338,0,medium
1218,clear,62.2442,0,medium
1307,clear,51.8913,0,medium
1459,clear,56.0784,0,high
105,clear,93.6312,0,low
779,clear,72.4096,0,medium
1544,rain,37.1155,0,high
1788,fog,16.2012,0,high
1204,clear,59.3478,0,medium
527,clear,85.9183,0,low
383,fog,58.3894,0,low
913,clear,80.6124,0,medium
112,rain,87.4307,0,low
1936,snow,13.8794,1,high
1223,clear,63.2864,0,medium
1323,fog,45.0111,0,medium
1770,rain,40.1239,0,high
895,clear,73.8335,0,medium
1340,clear,56.2898,0,medium
1620,rain,33.9793,0,high
1873,clear,35.0332,0,high
136,fog,68.0896,0,low
124,fog,62.6776,0,low
1592,clear,52.3606,0,high
1449,fog,32.5826,0,high
845,clear,75.9535,0,medium
128,clear,102.5564,0,low
528,rain,67.4137,0,low
479,rain,68.0015,0,low
845,clear,75.804,0,medium
147,rain,81.2326,0,low
1679,rain,29.4434,0,high
962,clear,75.5532,0,medium
1278,clear,65.1894,0,medium
1407,snow,29.3581,1,high
935,clear,72.7009,0,medium
1131,clear,63.3858,0,medium
1334,rain,52.0866,0,medium
1118,snow,36.2728,1,medium
1926,rain,26.8679,0,high
1856,fog,15.6647,0,high
1472,clear,55.9001,0,high
917,fog,43.6711,0,medium
1423,clear,56.1136,0,high
1971,rain,27.3925,0,high
736,fog,63.5347,0,medium
1746,fog,21.0658,0,high
221,snow,56.9381,1,low
1527,clear,43.611,0,high
1989,clear,47.5038,0,high
1756,clear,46.3783,0,high
979,clear,73.4699,0,medium
1676,clear,53.3681,0,high
379,clear,83.8319,0,low
915,clear,70.5204,0,medium
1523,clear,51.3289,0,high
655,rain,63.8149,0,medium
1562,clear,54.233,0,high
1228,rain,48.1271,0,medium
726,rain,59.2474,0,medium
841,fog,45.6667,0,medium
711,rain,69.7558,0,medium
961,rain,50.1325,0,medium
1401,clear,63.002,0,high
234,rain,83.2906,0,low
1070,clear,75.7685,0,medium
483,clear,82.7804,0,low
1044,rain,51.9076,0,medium
789,clear,82.9355,0,medium
607,clear,86.4551,0,medium
650,fog,46.4422,0,medium
1645,clear,54.8388,0,high
219,clear,88.977,0,low
1824,rain,35.062,0,high
1278,clear,66.563,0,medium
1368,clear,59.1395,0,medium
1255,clear,68.1686,0,medium
1049,rain,56.2894,0,medium
774,clear,69.3091,0,medium
352,fog,59.759,0,low
756,clear,83.241,0,medium
190,clear,99.1058,0,low
1056,clear,69.8782,0,medium
351,clear,89.0597,0,low
1955,clear,41.1329,0,high
672,clear,71.3894,0,medium
1171,rain,47.15,0,medium
129,rain,73.0109,0,low
1031,clear,74.418,0,medium
274,rain,78.3277,0,low
1081,fog,41.8246,0,medium
252,snow,63.6607,1,low
1436,clear,57.2442,0,high
1372,clear,65.4635,0,medium
461,clear,81.1134,0,low
732,rain,62.6108,0,medium
827,snow,43.8692,0,medium
1383,fog,31.127,0,medium
585,rain,67.2303,0,low
1812,clear,36.7434,0,high
385,clear,82.966,0,low
1238,snow,26.8041,0,medium
1559,rain,28.7717,0,high
225,clear,98.0433,0,low
1498,clear,56.4666,0,high
1811,clear,47.9655,0,high
312,rain,69.1496,0,low
1318,rain,41.7427,0,medium
685,clear,88.5086,0,medium
646,rain,63.4453,0,medium
389,clear,84.6178,0,low
591,rain,70.057,0,low
1220,clear,66.853,0,medium
824,snow,49.2846,0,medium
1415,clear,51.3615,0,high
303,clear,101.1023,0,low
1926,clear,35.0984,0,high
1970,clear,41.7743,0,high
1911,clear,41.3304,0,high
630,clear,86.3118,0,medium
114,rain,79.5293,0,low
1052,clear,68.3837,0,medium
190,rain,78.8696,0,low
244,clear,94.6482,0,low
1769,rain,29.5242,0,high
1959,rain,16.734,0,high
1066,clear,63.3109,0,medium
598,clear,75.5465,0,low
611,rain,57.5157,0,medium
1509,rain,37.1765,0,high
465,clear,76.1925,0,low
927,clear,69.7996,0,medium
162,clear,105.2154,0,low
370,rain,78.1966,1,low
1775,clear,59.3292,0,high
790,clear,78.0507,0,medium
1498,clear,55.3827,0,high
1148,clear,70.3185,0,medium
749,rain,63.2476,0,medium
1266,fog,42.6368,0,medium
1790,clear,39.5614,0,high
1740,clear,48.4828,0,high
758,clear,76.0625,0,medium
1886,clear,37.7212,0,high
593,clear,84.6057,0,low
699,clear,74.4634,0,medium
419,clear,94.8847,0,low
1071,rain,47.5894,0,medium
1539,clear,55.8239,0,high
1351,rain,41.9856,0,medium
313,rain,78.5852,0,low
700,fog,56.8149,0,medium
227,fog,70.8563,1,low
662,clear,74.7411,0,medium
1659,rain,32.1643,0,high
569,clear,88.1673,0,low
1932,snow,16.1738,0,high
471,clear,86.9596,0,low
1742,clear,60.1093,0,high
1516,fog,31.3097,0,high
1880,snow,12.6437,0,high
151,rain,86.1655,1,low
548,clear,82.1058,0,low
606,clear,81.4753,0,medium
468,rain,68.5061,1,low
860,clear,68.1691,0,medium
1834,clear,38.6216,0,high
1269,clear,60.4454,0,medium
1862,fog,19.9607,0,high
792,clear,72.6785,0,medium
323,clear,87.0332,0,low
1138,clear,65.2424,0,medium
410,clear,87.2486,0,low
768,rain,60.0805,0,medium
209,clear,94.3958,0,low
1967,snow,10.0,0,high
1615,clear,49.2272,0,high
1346,snow,21.3215,0,medium
998,fog,49.2386,0,medium
243,clear,94.1094,0,low
279,clear,99.7754,0,low
506,rain,64.0572,1,low
893,rain,59.8493,0,medium
536,clear,77.2917,0,low
997,snow,40.2533,0,medium
520,clear,81.5671,0,low
145,fog,75.8479,0,low
1906,rain,23.0177,0,high
132,clear,95.2273,0,low
660,clear,80.7038,0,medium
509,snow,54.389,0,low
727,clear,75.0851,0,medium
296,clear,96.4675,0,low
1479,clear,52.1868,0,high
958,clear,75.9934,0,medium
1547,clear,49.8607,0,high
670,clear,80.9943,0,medium
467,clear,80.7088,0,low
1134,rain,44.0623,0,medium
554,clear,80.289,0,low
591,clear,80.8612,0,low
136,clear,104.1768,1,low
751,clear,79.2243,0,medium
1225,clear,54.9098,0,medium
712,clear,77.1474,0,medium
1364,snow,25.0412,0,medium
1409,rain,42.2961,0,high
848,clear,81.0451,0,medium
1689,clear,51.4444,0,high
675,clear,77.5304,0,medium
1010,clear,67.0276,0,medium
783,clear,81.0265,0,medium
1418,fog,22.6801,0,high
851,clear,84.7785,0,medium
1481,clear,56.0158,0,high
907,clear,70.5424,0,medium
1894,clear,46.5305,0,high
697,rain,63.8375,0,medium
499,clear,90.5089,0,low
244,clear,92.4467,0,low
1748,clear,51.1385,0,high
789,clear,82.2359,0,medium
891,rain,68.0013,0,medium
1704,clear,45.7027,0,high
720,snow,41.2109,0,medium
1101,snow,28.471,1,medium
462,clear,88.2462,0,low
1205,clear,64.135,0,medium
296,clear,75.9685,0,low
358,rain,69.1462,0,low
1944,clear,38.7938,0,high
776,clear,90.6085,0,medium
1411,rain,38.6073,1,high
1151,rain,47.6541,0,medium
137,clear,98.2926,0,low
990,clear,59.631,0,medium
568,fog,61.3736,0,low
412,snow,58.115,1,low
1735,fog,24.9479,0,high
1225,fog,37.5939,0,medium
571,clear,79.709,0,low
679,clear,77.9767,0,medium
666,fog,53.6271,0,medium
650,fog,61.3838,0,medium
1484,snow,29.3498,1,high
644,clear,80.0543,0,medium
1784,clear,39.2877,0,high
1463,clear,54.3924,0,high
1012,clear,68.68,0,medium
518,fog,59.7755,0,low
1608,rain,33.6662,0,high
1007,clear,85.2247,1,medium
1560,snow,14.1147,1,high
1194,fog,45.5958,0,medium
912,fog,44.7149,0,medium
1420,clear,53.3298,0,high
1024,clear,76.3899,0,medium
766,clear,76.344,0,medium
1952,clear,40.7516,0,high
1975,clear,36.4599,0,high
515,clear,87.9402,0,low
683,rain,58.3541,0,medium
1440,clear,56.6678,0,high
366,clear,87.1579,0,low
1135,snow,25.26,1,medium
1464,clear,60.8716,0,high
328,clear,95.0885,0,low
1926,clear,48.8409,0,high
529,clear,87.9268,0,low
1862,clear,37.7674,0,high
986,rain,49.4378,0,medium
1094,rain,56.1696,0,medium
1276,fog,39.971,0,medium
784,clear,73.386,0,medium
407,rain,65.8955,0,low
1743,rain,28.403,0,high
728,clear,76.5034,0,medium
1560,clear,52.6003,0,high
625,clear,83.9455,0,medium
1418,clear,58.7471,0,high
1070,rain,51.6396,0,medium
1477,clear,58.8512,0,high
1224,clear,67.3806,0,medium
720,clear,69.1666,0,medium
1102,clear,75.1193,0,medium
1067,clear,70.3705,0,medium
569,fog,53.467,0,low
1609,fog,29.2109,0,high
833,clear,72.426,0,medium
1156,clear,60.2243,0,medium
1792,rain,30.4473,0,high
1205,clear,64.8094,0,medium
1655,clear,49.8834,0,high
1662,clear,43.8765,0,high
1936,fog,16.9767,0,high
1415,fog,27.3191,0,high
781,rain,66.55,0,medium
911,clear,75.4481,0,medium
1345,rain,49.3111,0,medium
259,clear,97.3722,0,low
1943,fog,17.8143,0,high
940,clear,77.103,0,medium
1833,clear,52.3765,0,high
424,clear,87.4021,0,low
1351,rain,35.4277,0,medium
1167,clear,69.4403,0,medium
1858,snow,10.9801,0,high
1119,clear,65.8104,0,medium
176,fog,69.0002,0,low
1049,clear,67.1312,0,medium
624,fog,52.7927,0,medium
1901,clear,34.8332,0,high
1180,fog,29.5358,0,medium
1642,rain,34.0466,0,high
764,rain,49.1526,0,medium
188,fog,63.1721,0,low
1829,clear,41.0136,0,high
857,rain,59.8502,0,medium
964,clear,81.4944,0,medium
498,clear,86.9207,0,low
843,rain,65.094,0,medium
736,rain,63.485,0,medium
1955,clear,42.5168,0,high
1507,rain,46.0971,0,high
1905,clear,45.7327,0,high
1342,rain,46.5195,0,medium
627,rain,75.5306,0,medium
490,rain,70.5136,0,low
1616,clear,55.5522,0,high
1310,clear,58.4091,0,medium
1772,clear,49.087,0,high
1608,fog,21.9655,0,high
695,snow,41.4845,0,medium
191,clear,93.5952,0,low
411,snow,67.0855,1,low
1313,clear,63.0883,0,medium
1192,clear,54.0451,0,medium
478,clear,82.8455,0,low
1281,rain,48.4819,0,medium
325,clear,84.748,0,low
1533,snow,19.9873,1,high
1435,clear,53.0081,0,high
114,clear,87.6245,0,low
250,clear,82.0567,0,low
1375,clear,56.6798,0,medium
1961,clear,43.8253,0,high
1515,clear,59.9163,0,high
352,clear,88.2458,0,low
1125,rain,56.4324,0,medium
1018,clear,66.5932,0,medium
893,clear,71.3426,1,medium
1703,clear,50.0304,0,high
177,clear,95.1614,0,low
1213,fog,34.9544,0,medium
541,clear,92.4883,0,low
1747,fog,19.7583,1,high
1928,clear,41.6118,0,high
1170,clear,64.3271,0,medium
1635,rain,37.8335,0,high
1900,clear,42.8535,0,high
610,clear,75.9611,0,medium
1769,clear,43.3079,0,high
1957,clear,37.5635,0,high
1539,clear,50.4572,0,high
492,rain,65.3438,0,low
824,rain,55.1467,0,medium
102,clear,100.6605,0,low
1270,rain,47.989,0,medium
989,clear,74.2481,0,medium
515,clear,79.3014,0,low
1168,rain,58.5625,0,medium
1083,clear,72.9237,0,medium
848,clear,69.5583,0,medium
1266,clear,66.8373,0,medium
1767,fog,22.0204,0,high
1825,clear,42.3106,1,high
596,clear,80.3328,0,low
428,clear,84.9237,0,low
990,clear,71.5163,0,medium
1770,rain,26.7569,0,high
1436,clear,62.7578,0,high
1687,rain,34.7676,0,high
